rank,word,pinyin,english
940,算了,suànle,forget it
941,达,dá,reach
942,从未,cóngwèi,never
943,在家,zàijiā,at home
944,扔,rēng,throw
945,冷,lěng,cold
946,逮捕,dàibǔ,arrest
947,借,jiè,borrow
948,谋杀,móushā,murder
949,金,jīn,gold
950,关,guān,close
951,酒吧,jiǔbā,bar
952,老大,lǎodà,boss
953,节目,jiémù,program
954,算是,suànshì,be considered
955,病人,bìngrén,patient
956,赶快,gǎnkuài,hurry up
957,恩,ēn,well
958,万,wàn,ten thousand
959,可惜,kěxī,it is a pity
960,追,zhuī,chase
961,美好,měihǎo,beautiful
962,令人,lìngrén,make one feel
963,躺,tǎng,lie down
964,多么,duōme,how
965,接近,jiējìn,approach
966,选,xuǎn,choose
967,酒店,jiǔdiàn,hotel
968,一步,yībù,one step
969,拯救,zhěngjiù,save
970,出生,chūshēng,be born
971,在乎,zàihu,care about
972,地狱,dìyù,hell
973,吓,xià,scare
974,一杯,yībēi,a cup
975,差点,chàdiǎn,almost
976,那家伙,nàjiāhuo,that guy
977,做好,zuòhǎo,finish doing
978,比如,bǐrú,for example
979,感情,gǎnqíng,emotion
980,警告,jǐnggào,warn
981,越,yuè,the more
982,一遍,yībiàn,once
983,难过,nánguò,sad
984,现场,xiànchǎng,scene
985,失望,shīwàng,disappointed
986,哈,hā,laughter
987,不让,bùràng,forbid
988,聊,liáo,chat
989,请问,qǐngwèn,excuse me
990,上班,shàngbān,go to work
991,拿走,názǒu,take away
992,大哥,dàgē,elder brother
993,历史,lìshǐ,history
994,痛,tòng,pain
995,目的,mùdì,purpose
996,幫,bāng,help
997,失踪,shīzōng,missing
998,军队,jūnduì,army
999,成,chéng,become
1000,通常,tōngcháng,usually
